segment_id,record_id,lead,fs,start_s,end_s
synthetic_01,synthetic,II,500.0,0.0,15.0
JS00001_II_0_5000,JS00001,II,500.0,0.0,10.0
JS00002_II_0_5000,JS00002,II,500.0,0.0,10.0
JS00004_II_0_5000,JS00004,II,500.0,0.0,10.0
JS00005_II_0_5000,JS00005,II,500.0,0.0,10.0
JS00006_II_0_5000,JS00006,II,500.0,0.0,10.0
JS00007_II_0_5000,JS00007,II,500.0,0.0,10.0
JS00008_II_0_5000,JS00008,II,500.0,0.0,10.0
JS00009_II_0_5000,JS00009,II,500.0,0.0,10.0
JS00010_II_0_5000,JS00010,II,500.0,0.0,10.0
JS00011_II_0_5000,JS00011,II,500.0,0.0,10.0
JS00012_II_0_5000,JS00012,II,500.0,0.0,10.0
JS00013_II_0_5000,JS00013,II,500.0,0.0,10.0
JS00014_II_0_5000,JS00014,II,500.0,0.0,10.0
JS00015_II_0_5000,JS00015,II,500.0,0.0,10.0
JS00016_II_0_5000,JS00016,II,500.0,0.0,10.0
JS00017_II_0_5000,JS00017,II,500.0,0.0,10.0
JS00018_II_0_5000,JS00018,II,500.0,0.0,10.0
JS00019_II_0_5000,JS00019,II,500.0,0.0,10.0
JS00020_II_0_5000,JS00020,II,500.0,0.0,10.0
JS00021_II_0_5000,JS00021,II,500.0,0.0,10.0
JS00022_II_0_5000,JS00022,II,500.0,0.0,10.0
JS00023_II_0_5000,JS00023,II,500.0,0.0,10.0
JS00024_II_0_5000,JS00024,II,500.0,0.0,10.0
JS00025_II_0_5000,JS00025,II,500.0,0.0,10.0
JS00026_II_0_5000,JS00026,II,500.0,0.0,10.0
JS00027_II_0_5000,JS00027,II,500.0,0.0,10.0
JS00029_II_0_5000,JS00029,II,500.0,0.0,10.0
JS00030_II_0_5000,JS00030,II,500.0,0.0,10.0
JS00031_II_0_5000,JS00031,II,500.0,0.0,10.0
JS00032_II_0_5000,JS00032,II,500.0,0.0,10.0
JS00033_II_0_5000,JS00033,II,500.0,0.0,10.0
JS00034_II_0_5000,JS00034,II,500.0,0.0,10.0
JS00036_II_0_5000,JS00036,II,500.0,0.0,10.0
JS00037_II_0_5000,JS00037,II,500.0,0.0,10.0
JS00038_II_0_5000,JS00038,II,500.0,0.0,10.0
JS00039_II_0_5000,JS00039,II,500.0,0.0,10.0
JS00040_II_0_5000,JS00040,II,500.0,0.0,10.0
JS00041_II_0_5000,JS00041,II,500.0,0.0,10.0
JS00042_II_0_5000,JS00042,II,500.0,0.0,10.0
JS00043_II_0_5000,JS00043,II,500.0,0.0,10.0
JS00044_II_0_5000,JS00044,II,500.0,0.0,10.0
JS00045_II_0_5000,JS00045,II,500.0,0.0,10.0
JS00046_II_0_5000,JS00046,II,500.0,0.0,10.0
JS00047_II_0_5000,JS00047,II,500.0,0.0,10.0
JS00048_II_0_5000,JS00048,II,500.0,0.0,10.0
JS00049_II_0_5000,JS00049,II,500.0,0.0,10.0
JS00050_II_0_5000,JS00050,II,500.0,0.0,10.0
JS00051_II_0_5000,JS00051,II,500.0,0.0,10.0
JS00052_II_0_5000,JS00052,II,500.0,0.0,10.0
JS00053_II_0_5000,JS00053,II,500.0,0.0,10.0
JS00054_II_0_5000,JS00054,II,500.0,0.0,10.0
JS00055_II_0_5000,JS00055,II,500.0,0.0,10.0
JS00056_II_0_5000,JS00056,II,500.0,0.0,10.0
JS00057_II_0_5000,JS00057,II,500.0,0.0,10.0
JS00058_II_0_5000,JS00058,II,500.0,0.0,10.0
JS00059_II_0_5000,JS00059,II,500.0,0.0,10.0
JS00060_II_0_5000,JS00060,II,500.0,0.0,10.0
JS00061_II_0_5000,JS00061,II,500.0,0.0,10.0
JS00062_II_0_5000,JS00062,II,500.0,0.0,10.0
JS00063_II_0_5000,JS00063,II,500.0,0.0,10.0
JS00064_II_0_5000,JS00064,II,500.0,0.0,10.0
JS00065_II_0_5000,JS00065,II,500.0,0.0,10.0
JS00066_II_0_5000,JS00066,II,500.0,0.0,10.0
JS00067_II_0_5000,JS00067,II,500.0,0.0,10.0
JS00068_II_0_5000,JS00068,II,500.0,0.0,10.0
JS00069_II_0_5000,JS00069,II,500.0,0.0,10.0
JS00070_II_0_5000,JS00070,II,500.0,0.0,10.0
JS00071_II_0_5000,JS00071,II,500.0,0.0,10.0
JS00072_II_0_5000,JS00072,II,500.0,0.0,10.0
JS00073_II_0_5000,JS00073,II,500.0,0.0,10.0
JS00074_II_0_5000,JS00074,II,500.0,0.0,10.0
JS00075_II_0_5000,JS00075,II,500.0,0.0,10.0
JS00076_II_0_5000,JS00076,II,500.0,0.0,10.0
JS00077_II_0_5000,JS00077,II,500.0,0.0,10.0
JS00078_II_0_5000,JS00078,II,500.0,0.0,10.0
JS00079_II_0_5000,JS00079,II,500.0,0.0,10.0
JS00080_II_0_5000,JS00080,II,500.0,0.0,10.0
JS00081_II_0_5000,JS00081,II,500.0,0.0,10.0
JS00082_II_0_5000,JS00082,II,500.0,0.0,10.0
JS00083_II_0_5000,JS00083,II,500.0,0.0,10.0
JS00084_II_0_5000,JS00084,II,500.0,0.0,10.0
JS00085_II_0_5000,JS00085,II,500.0,0.0,10.0
JS00086_II_0_5000,JS00086,II,500.0,0.0,10.0
JS00087_II_0_5000,JS00087,II,500.0,0.0,10.0
JS00088_II_0_5000,JS00088,II,500.0,0.0,10.0
JS00089_II_0_5000,JS00089,II,500.0,0.0,10.0
JS00090_II_0_5000,JS00090,II,500.0,0.0,10.0
JS00091_II_0_5000,JS00091,II,500.0,0.0,10.0
JS00092_II_0_5000,JS00092,II,500.0,0.0,10.0
JS00093_II_0_5000,JS00093,II,500.0,0.0,10.0
JS00094_II_0_5000,JS00094,II,500.0,0.0,10.0
JS00095_II_0_5000,JS00095,II,500.0,0.0,10.0
JS00096_II_0_5000,JS00096,II,500.0,0.0,10.0
JS00097_II_0_5000,JS00097,II,500.0,0.0,10.0
JS00099_II_0_5000,JS00099,II,500.0,0.0,10.0
JS00100_II_0_5000,JS00100,II,500.0,0.0,10.0
JS00101_II_0_5000,JS00101,II,500.0,0.0,10.0
JS00102_II_0_5000,JS00102,II,500.0,0.0,10.0
JS00103_II_0_5000,JS00103,II,500.0,0.0,10.0
JS00104_II_0_5000,JS00104,II,500.0,0.0,10.0
JS00105_II_0_5000,JS00105,II,500.0,0.0,10.0
JS00106_II_0_5000,JS00106,II,500.0,0.0,10.0
JS00107_II_0_5000,JS00107,II,500.0,0.0,10.0
JS00108_II_0_5000,JS00108,II,500.0,0.0,10.0
JS00109_II_0_5000,JS00109,II,500.0,0.0,10.0
JS00110_II_0_5000,JS00110,II,500.0,0.0,10.0
JS00111_II_0_5000,JS00111,II,500.0,0.0,10.0
JS00112_II_0_5000,JS00112,II,500.0,0.0,10.0
JS00113_II_0_5000,JS00113,II,500.0,0.0,10.0
JS00114_II_0_5000,JS00114,II,500.0,0.0,10.0
JS00115_II_0_5000,JS00115,II,500.0,0.0,10.0
JS00116_II_0_5000,JS00116,II,500.0,0.0,10.0
JS00117_II_0_5000,JS00117,II,500.0,0.0,10.0
JS00118_II_0_5000,JS00118,II,500.0,0.0,10.0
JS00119_II_0_5000,JS00119,II,500.0,0.0,10.0
JS00120_II_0_5000,JS00120,II,500.0,0.0,10.0
JS00121_II_0_5000,JS00121,II,500.0,0.0,10.0
JS00122_II_0_5000,JS00122,II,500.0,0.0,10.0
JS00123_II_0_5000,JS00123,II,500.0,0.0,10.0
JS00124_II_0_5000,JS00124,II,500.0,0.0,10.0
JS00125_II_0_5000,JS00125,II,500.0,0.0,10.0
JS00126_II_0_5000,JS00126,II,500.0,0.0,10.0
JS00127_II_0_5000,JS00127,II,500.0,0.0,10.0
JS00128_II_0_5000,JS00128,II,500.0,0.0,10.0
JS00129_II_0_5000,JS00129,II,500.0,0.0,10.0
JS00130_II_0_5000,JS00130,II,500.0,0.0,10.0
JS00131_II_0_5000,JS00131,II,500.0,0.0,10.0
JS00132_II_0_5000,JS00132,II,500.0,0.0,10.0
JS00133_II_0_5000,JS00133,II,500.0,0.0,10.0
JS00134_II_0_5000,JS00134,II,500.0,0.0,10.0
JS00137_II_0_5000,JS00137,II,500.0,0.0,10.0
JS00138_II_0_5000,JS00138,II,500.0,0.0,10.0
JS00139_II_0_5000,JS00139,II,500.0,0.0,10.0
JS00140_II_0_5000,JS00140,II,500.0,0.0,10.0
JS00141_II_0_5000,JS00141,II,500.0,0.0,10.0
JS00142_II_0_5000,JS00142,II,500.0,0.0,10.0
JS00143_II_0_5000,JS00143,II,500.0,0.0,10.0
JS00144_II_0_5000,JS00144,II,500.0,0.0,10.0
JS00145_II_0_5000,JS00145,II,500.0,0.0,10.0
JS00146_II_0_5000,JS00146,II,500.0,0.0,10.0
JS00147_II_0_5000,JS00147,II,500.0,0.0,10.0
JS00148_II_0_5000,JS00148,II,500.0,0.0,10.0
JS00150_II_0_5000,JS00150,II,500.0,0.0,10.0
JS00151_II_0_5000,JS00151,II,500.0,0.0,10.0
JS00152_II_0_5000,JS00152,II,500.0,0.0,10.0
JS00153_II_0_5000,JS00153,II,500.0,0.0,10.0
JS00154_II_0_5000,JS00154,II,500.0,0.0,10.0
JS00155_II_0_5000,JS00155,II,500.0,0.0,10.0
JS00156_II_0_5000,JS00156,II,500.0,0.0,10.0
JS00157_II_0_5000,JS00157,II,500.0,0.0,10.0
JS00158_II_0_5000,JS00158,II,500.0,0.0,10.0
JS00159_II_0_5000,JS00159,II,500.0,0.0,10.0
JS00160_II_0_5000,JS00160,II,500.0,0.0,10.0
JS00161_II_0_5000,JS00161,II,500.0,0.0,10.0
JS00162_II_0_5000,JS00162,II,500.0,0.0,10.0
JS00163_II_0_5000,JS00163,II,500.0,0.0,10.0
JS00164_II_0_5000,JS00164,II,500.0,0.0,10.0
JS00165_II_0_5000,JS00165,II,500.0,0.0,10.0
JS00166_II_0_5000,JS00166,II,500.0,0.0,10.0
JS00167_II_0_5000,JS00167,II,500.0,0.0,10.0
JS00168_II_0_5000,JS00168,II,500.0,0.0,10.0
JS00169_II_0_5000,JS00169,II,500.0,0.0,10.0
JS00170_II_0_5000,JS00170,II,500.0,0.0,10.0
JS00171_II_0_5000,JS00171,II,500.0,0.0,10.0
JS00172_II_0_5000,JS00172,II,500.0,0.0,10.0
JS00173_II_0_5000,JS00173,II,500.0,0.0,10.0
JS00174_II_0_5000,JS00174,II,500.0,0.0,10.0
JS00175_II_0_5000,JS00175,II,500.0,0.0,10.0
JS00176_II_0_5000,JS00176,II,500.0,0.0,10.0
JS00177_II_0_5000,JS00177,II,500.0,0.0,10.0
JS00178_II_0_5000,JS00178,II,500.0,0.0,10.0
JS00179_II_0_5000,JS00179,II,500.0,0.0,10.0
JS00180_II_0_5000,JS00180,II,500.0,0.0,10.0
JS00181_II_0_5000,JS00181,II,500.0,0.0,10.0
JS00182_II_0_5000,JS00182,II,500.0,0.0,10.0
JS00183_II_0_5000,JS00183,II,500.0,0.0,10.0
JS00184_II_0_5000,JS00184,II,500.0,0.0,10.0
JS00185_II_0_5000,JS00185,II,500.0,0.0,10.0
JS00186_II_0_5000,JS00186,II,500.0,0.0,10.0
JS00187_II_0_5000,JS00187,II,500.0,0.0,10.0
JS00188_II_0_5000,JS00188,II,500.0,0.0,10.0
JS00189_II_0_5000,JS00189,II,500.0,0.0,10.0
JS00190_II_0_5000,JS00190,II,500.0,0.0,10.0
JS00191_II_0_5000,JS00191,II,500.0,0.0,10.0
JS00192_II_0_5000,JS00192,II,500.0,0.0,10.0
JS00193_II_0_5000,JS00193,II,500.0,0.0,10.0
JS00194_II_0_5000,JS00194,II,500.0,0.0,10.0
JS00195_II_0_5000,JS00195,II,500.0,0.0,10.0
JS00196_II_0_5000,JS00196,II,500.0,0.0,10.0
JS00197_II_0_5000,JS00197,II,500.0,0.0,10.0
JS00198_II_0_5000,JS00198,II,500.0,0.0,10.0
JS00199_II_0_5000,JS00199,II,500.0,0.0,10.0
JS00200_II_0_5000,JS00200,II,500.0,0.0,10.0
JS00201_II_0_5000,JS00201,II,500.0,0.0,10.0
JS00202_II_0_5000,JS00202,II,500.0,0.0,10.0
JS00203_II_0_5000,JS00203,II,500.0,0.0,10.0
JS00204_II_0_5000,JS00204,II,500.0,0.0,10.0
JS00205_II_0_5000,JS00205,II,500.0,0.0,10.0
JS00206_II_0_5000,JS00206,II,500.0,0.0,10.0
JS00207_II_0_5000,JS00207,II,500.0,0.0,10.0
